date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-04-29,AR_B_277,0,0,,2,2438,26,,5574
2022-04-29,AR_B_280,0,0,,1,6415,134,,14210
2022-04-26,AR_B_287,0,0,,6,1928,29,,5363
2022-04-26,AR_B_294,1,0,,2,3635,53,,6360
2022-04-29,AR_B_301,0,0,,2,3223,40,,6077
2022-04-21,AR_B_308,0,0,,1,509,3,,788
2022-04-29,AR_B_315,0,0,,1,5151,75,,9944
2022-04-29,AR_B_322,1,0,,1,2466,24,,6372
2022-04-28,AR_B_329,1,0,,4,3516,51,,8407
2022-04-26,AR_B_336,0,0,,2,772,4,,1955
2022-04-27,AR_B_343,1,0,,7,2405,25,,4377
2022-04-30,AR_B_351,0,0,,5,2138,62,,6782
2022-04-30,AR_B_357,0,0,,12,156297,2962,,339010
2022-04-30,AR_B_364,1,0,,4,22622,251,,53518
2022-04-30,AR_B_371,2,0,,26,101134,1865,,290896
2022-04-27,AR_B_385,0,0,,1,4987,96,,10371
2022-04-30,AR_B_392,0,0,,1,5669,178,,10117
2022-04-29,AR_B_399,0,0,,1,2228,36,,3385
2022-04-29,AR_B_406,1,0,,1,2558,42,,5177
2022-04-30,AR_B_408,3,0,,12,43809,819,,111489
2022-04-30,AR_B_410,2,0,,6,41496,764,,108706
2022-04-30,AR_B_412,0,0,,11,51605,1068,,141561
2022-04-30,AR_B_413,1,0,,3,26325,527,,59741
2022-04-30,AR_B_420,0,0,,15,17497,285,,46284
2022-04-30,AR_B_427,14,0,,95,287440,5340,,815550
2022-04-30,AR_B_434,9,0,,24,110854,1823,,317044
2022-04-30,AR_B_441,4,0,,24,160849,2793,,406867
2022-04-29,AR_B_448,0,0,,1,2767,28,,5613
2022-04-25,AR_B_455,0,0,,1,3165,86,,7057
2022-04-29,AR_B_462,0,0,,1,4352,122,,7699
2022-04-28,AR_B_469,1,0,,4,11148,157,,22412
2022-04-28,AR_B_476,0,0,,1,5365,74,,10381
2022-04-30,AR_B_483,1,0,,3,6058,108,,11916
2022-04-30,AR_B_490,5,0,,32,127824,1769,,383979
2022-04-30,AR_B_497,6,0,,13,24735,470,,59826
2022-04-30,AR_B_505,1,0,,1,4205,56,,7748
2022-04-26,AR_B_511,1,0,,0,1998,39,,3977
2022-04-30,AR_B_515,1,0,,6,68759,1383,,184442
2022-04-29,AR_B_518,0,0,,2,4975,97,,11331
2022-04-30,AR_B_525,0,0,,1,11414,179,,26432
2022-04-30,AR_B_532,0,0,,1,13671,200,,37156
2022-04-30,AR_B_539,3,0,,17,95458,1929,,236417
2022-04-30,AR_B_547,1,0,,1,4948,73,,10621
2022-04-27,AR_B_553,0,0,,6,1774,15,,5452
2022-04-30,AR_B_560,3,0,,27,94417,1479,,242423
2022-04-30,AR_B_568,1,0,,9,73793,1461,,219581
2022-04-26,AR_B_574,0,0,,4,3466,53,,6676
2022-04-28,AR_B_581,1,0,,2,21882,292,,46933
2022-04-29,AR_B_588,3,0,,21,11439,258,,23517
2022-04-30,AR_B_595,0,0,,3,20153,347,,54137
2022-04-28,AR_B_602,0,0,,1,6138,138,,16077
2022-04-27,AR_B_609,0,0,,2,8842,153,,17278
2022-04-20,AR_B_616,0,0,,1,1428,23,,3563
2022-04-30,AR_B_623,0,0,,1,27115,488,,52692
2022-04-24,AR_B_630,0,0,,1,650,11,,1337
2022-04-30,AR_B_638,0,0,,6,91682,920,,337446
2022-04-30,AR_B_644,0,0,,1,8991,77,,21467
2022-04-30,AR_B_648,0,0,,4,16265,207,,39766
2022-04-29,AR_B_651,0,0,,2,3643,59,,6873
2022-04-29,AR_B_655,1,0,,2,1806,22,,4724
2022-04-30,AR_B_658,3,0,,22,134455,2712,,330627
2022-04-28,AR_B_665,0,0,,4,6567,104,,12695
2022-04-30,AR_B_672,0,0,,1,4221,41,,7274
2022-04-28,AR_B_679,0,0,,1,2557,44,,5636
2022-04-28,AR_B_686,0,0,,1,5042,79,,10593
2022-04-29,AR_B_693,1,0,,2,4420,46,,9392
2022-04-30,AR_B_700,0,0,,2,4260,76,,8732
2022-04-29,AR_B_707,0,0,,1,9012,134,,20041
2022-04-28,AR_B_714,0,0,,1,6151,135,,13544
2022-04-29,AR_B_721,0,0,,1,1395,30,,2105
2022-04-30,AR_B_728,0,0,,1,5395,98,,14681
2022-04-29,AR_B_735,0,0,,4,5499,60,,11468
2022-04-26,AR_B_742,0,0,,2,1698,40,,3903
2022-04-30,AR_B_749,2,0,,16,39258,764,,118410
2022-04-30,AR_B_756,11,0,,48,80431,1191,,319969
2022-04-30,AR_B_760,6,0,,90,71640,1144,,219206
2022-04-30,AR_B_763,1,0,,1,27430,636,,57961
2022-04-29,AR_B_770,0,0,,2,11893,248,,35276
2022-04-30,AR_B_778,0,0,,3,16625,216,,43331
2022-04-30,AR_B_784,0,0,,1,2554,37,,4769
2022-04-30,AR_B_791,0,0,,5,35279,475,,88390
2022-04-26,AR_B_798,0,0,,7,2634,31,,5288
2022-04-30,AR_B_805,1,0,,18,89966,1247,,287538
2022-04-26,AR_B_812,0,0,,3,295,2,,729
2022-04-23,AR_B_819,0,0,,1,2452,41,,4870
2022-04-30,AR_B_826,0,0,,3,14556,199,,42719
2022-04-29,AR_B_833,0,0,,4,10785,238,,22463
2022-04-30,AR_B_840,6,0,,29,89602,1557,,254227
2022-04-30,AR_B_847,0,0,,1,1829,19,,3609
2022-04-29,AR_B_854,1,0,,3,7340,128,,17460
2022-04-30,AR_B_861,5,0,,34,67013,1050,,291436
2022-04-30,AR_B_868,1,0,,5,7069,88,,19425
2022-04-30,AR_B_875,0,0,,1,3251,65,,6131
2022-04-30,AR_B_882,1,0,,7,28795,435,,73902
2022-05-01,AR_C,0,0,,1,1014153,12549,,5183899
2022-04-30,AR_C_001,6,0,,44,41045,389,,188983
2022-04-30,AR_C_002,7,0,,30,26879,277,,152330
2022-04-30,AR_C_003,0,0,,26,33682,392,,145298
2022-04-30,AR_C_004,4,0,,22,42059,452,,176251
2022-05-01,AR_C_005,0,0,,1,33429,315,,156116
2022-04-30,AR_C_006,12,0,,53,33406,319,,168997
2022-04-30,AR_C_007,6,0,,29,37709,454,,169851
2022-04-30,AR_C_008,2,0,,15,30753,312,,124746
2022-04-30,AR_C_009,10,0,,33,25096,302,,108619
2022-04-30,AR_C_010,8,0,,29,27039,330,,123150
2022-04-30,AR_C_011,11,0,,52,27496,281,,136530
2022-04-30,AR_C_012,13,0,,56,32801,323,,176877
2022-04-30,AR_C_013,20,0,,68,44937,410,,269190
2022-04-30,AR_C_014,8,0,,48,42224,352,,241025
2022-04-30,AR_C_015,10,0,,43,33137,305,,160163
2022-04-30,AR_D,0,0,,19,134564,1601,,362056
2022-04-29,AR_D_007,0,0,,2,3947,63,,13195
2022-04-19,AR_D_014,0,0,,1,1051,21,,3294
2022-04-29,AR_D_021,0,0,,2,3761,56,,11018
2022-04-28,AR_D_028,0,0,,4,4622,77,,13888
2022-04-30,AR_D_035,0,0,,1,40310,527,,102560
2022-04-29,AR_D_042,0,0,,3,2918,58,,7936
2022-04-28,AR_D_049,0,0,,5,8282,111,,20947
2022-04-30,AR_D_056,0,0,,18,68875,677,,186540
2022-04-21,AR_D_063,0,0,,1,764,8,,2584
2022-04-30,AR_E,3,0,,26,200039,2811,,352234
2022-04-30,AR_E_008,1,0,,1,13394,98,,20568
2022-04-30,AR_E_015,0,0,,2,24692,339,,48853
2022-04-30,AR_E_021,0,0,,3,7141,96,,13393
2022-04-30,AR_E_028,0,0,,1,9470,119,,15275
2022-04-30,AR_E_035,0,0,,1,2556,54,,4767
2022-04-27,AR_E_042,1,0,,1,1330,27,,2503
2022-04-28,AR_E_049,1,0,,1,6979,140,,14369
2022-04-30,AR_E_056,1,0,,4,26968,341,,41792
2022-04-24,AR_E_063,0,0,,1,2174,24,,4610
2022-04-29,AR_E_070,0,0,,1,7532,119,,12827
2022-04-30,AR_E_077,0,0,,1,4141,81,,7871
2022-04-30,AR_E_084,1,0,,12,62145,891,,108817
2022-04-29,AR_E_088,0,0,,1,2713,22,,3696
2022-04-28,AR_E_091,1,0,,1,4098,44,,6875
2022-04-30,AR_E_098,0,0,,1,14615,196,,25488
2022-04-28,AR_E_105,0,0,,1,4811,102,,10428
2022-04-29,AR_E_113,0,0,,1,5210,116,,9711
2022-04-29,AR_F,1,0,,5,56592,1042,,174477
2022-04-26,AR_F_007,0,0,,2,3063,50,,8314
2022-04-29,AR_F_014,0,0,,1,31132,558,,100096
2022-04-26,AR_F_021,0,0,,1,793,11,,2275
2022-04-27,AR_F_028,0,0,,1,1649,30,,4973
2022-04-26,AR_F_035,0,0,,1,2568,57,,7060
2022-04-29,AR_F_042,0,0,,2,7323,187,,21022
2022-04-26,AR_F_049,0,0,,1,1186,13,,3503
2022-04-25,AR_F_056,0,0,,1,533,12,,1814
2022-04-28,AR_F_063,0,0,,1,1207,23,,3956
2022-04-18,AR_F_070,0,0,,1,570,9,,1762
2022-04-04,AR_F_077,0,0,,2,300,3,,1124
2022-04-26,AR_F_084,0,0,,3,1184,21,,3607
2022-04-21,AR_F_091,0,0,,1,555,7,,1968
2022-04-26,AR_F_098,0,0,,1,519,3,,1615
2022-04-24,AR_F_105,0,0,,1,376,9,,1219
2022-04-29,AR_F_112,1,0,,1,2262,30,,6214
2022-04-26,AR_F_119,0,0,,1,803,1,,2055
2022-04-29,AR_F_126,0,0,,1,525,15,,1737
2022-04-30,AR_G,0,0,,4,124044,1343,,345891
2022-04-29,AR_G_007,0,0,,1,898,15,,1826
2022-04-29,AR_G_014,0,0,,1,950,26,,2894
2022-04-28,AR_G_021,0,0,,3,978,14,,3101
2022-04-28,AR_G_028,0,0,,1,1406,26,,5156
2022-04-29,AR_G_035,0,0,,9,22433,242,,56621
2022-04-20,AR_G_042,0,0,,2,857,12,,2457
2022-04-30,AR_G_049,0,0,,2,64883,506,,167239
